INFO 2024-08-02 16:35:42,648 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-02 16:35:42,653 autoreload Waiting for apps ready_event.
DEBUG 2024-08-02 16:35:42,787 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-02 16:35:42,826 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-02 16:35:42,827 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\devmarketer_project\react_build with glob **/*.
DEBUG 2024-08-02 16:35:42,828 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\devmarketer_project\locale with glob **/*.mo.
DEBUG 2024-08-02 16:35:42,828 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-08-02 16:35:42,829 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-08-02 16:35:42,830 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\devmarketer_project\api\locale with glob **/*.mo.
DEBUG 2024-08-02 16:35:42,830 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-08-02 16:35:42,831 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
INFO 2024-08-02 16:35:43,121 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-02 16:35:43,126 autoreload Waiting for apps ready_event.
DEBUG 2024-08-02 16:35:43,211 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-02 16:35:43,242 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-02 16:35:43,243 autoreload Watching dir C:\Users\bossf\Downloads\market_connect\devmarketer_project\react_build with glob **/*.
